Post_ID,Date,Platform,Post_Type,Likes,Comments,Shares,Reach,Total_Engagement,Engagement_Rate (%)
POST_0537,2026-03-05,LinkedIn,Image,215,157,25,9512,397,4.17
POST_0301,2026-03-06,LinkedIn,Image,132,176,146,6308,454,7.2
POST_0022,2026-03-06,LinkedIn,Text,780,233,159,3923,1172,29.88
POST_0209,2026-03-06,LinkedIn,Text,219,163,30,5446,412,7.57
POST_0359,2026-03-07,LinkedIn,Video,534,173,64,1864,771,41.36
POST_0232,2026-03-07,Facebook,Carousel,167,39,112,8625,318,3.69
POST_0462,2026-03-07,Instagram,Video,180,178,137,6621,495,7.48
POST_0186,2026-03-07,Instagram,Video,416,42,178,3024,636,21.03
POST_0576,2026-03-07,Facebook,Video,1397,95,77,6491,1569,24.17
POST_0078,2026-03-08,Facebook,Carousel,1160,211,142,4199,1513,36.03
POST_0085,2026-03-09,Facebook,Video,1122,8,123,2272,1253,55.15
POST_0105,2026-03-09,LinkedIn,Image,364,102,161,5070,627,12.37
POST_0131,2026-03-10,LinkedIn,Video,1264,224,110,6134,1598,26.05
POST_0578,2026-03-10,LinkedIn,Video,973,3,140,9423,1116,11.84
POST_0240,2026-03-10,Facebook,Video,1434,47,36,7762,1517,19.54
POST_0357,2026-03-11,Facebook,Video,148,102,138,2279,388,17.03
POST_0501,2026-03-11,Instagram,Carousel,950,190,116,7678,1256,16.36
POST_0072,2026-03-12,LinkedIn,Image,400,138,106,1192,644,54.03
POST_0157,2026-03-12,LinkedIn,Text,1056,61,172,5038,1289,25.59
POST_0502,2026-03-12,LinkedIn,Image,660,246,134,2794,1040,37.22
POST_0151,2026-03-13,Instagram,Image,761,10,63,5641,834,14.78
POST_0088,2026-03-13,Instagram,Video,147,110,86,3371,343,10.18
POST_0329,2026-03-14,Instagram,Image,560,221,11,5257,792,15.07
POST_0507,2026-03-14,Instagram,Carousel,1225,162,7,6283,1394,22.19
POST_0321,2026-03-14,Instagram,Text,275,228,52,5678,555,9.77
POST_0457,2026-03-15,Instagram,Video,782,98,23,560,903,161.25
POST_0409,2026-03-15,LinkedIn,Text,207,217,145,4527,569,12.57
POST_0288,2026-03-16,LinkedIn,Carousel,955,20,135,6411,1110,17.31
POST_0076,2026-03-16,Instagram,Video,921,239,58,2661,1218,45.77
POST_0442,2026-03-16,LinkedIn,Image,946,238,12,9616,1196,12.44
POST_0112,2026-03-16,Facebook,Carousel,1002,33,130,7114,1165,16.38
POST_0257,2026-03-16,Instagram,Image,379,188,127,639,694,108.61
POST_0313,2026-03-16,LinkedIn,Video,680,65,51,2695,796,29.54
POST_0250,2026-03-16,Instagram,Image,1363,208,163,5095,1734,34.03
POST_0029,2026-03-17,Instagram,Video,330,156,166,8777,652,7.43
POST_0317,2026-03-17,LinkedIn,Text,666,90,13,1806,769,42.58
POST_0392,2026-03-17,LinkedIn,Video,1254,39,16,1861,1309,70.34
POST_0062,2026-03-18,LinkedIn,Text,272,75,157,2951,504,17.08
POST_0363,2026-03-18,LinkedIn,Image,893,190,154,8764,1237,14.11
POST_0034,2026-03-19,Facebook,Image,361,29,164,8655,554,6.4
POST_0303,2026-03-19,LinkedIn,Carousel,141,143,18,6741,302,4.48
POST_0174,2026-03-19,Instagram,Carousel,648,219,51,7763,918,11.83
POST_0384,2026-03-19,Instagram,Image,1057,148,22,5541,1227,22.14
POST_0039,2026-03-19,Facebook,Image,31,154,18,2717,203,7.47
POST_0184,2026-03-20,LinkedIn,Text,40,181,81,3989,302,7.57
POST_0228,2026-03-20,Instagram,Video,1478,5,18,6926,1501,21.67
POST_0413,2026-03-20,Instagram,Carousel,292,106,140,3758,538,14.32
POST_0561,2026-03-20,Instagram,Image,403,119,104,5494,626,11.39
POST_0136,2026-03-20,Facebook,Video,1274,70,98,3609,1442,39.96
POST_0400,2026-03-21,LinkedIn,Video,1033,29,41,1190,1103,92.69
POST_0051,2026-03-21,LinkedIn,Text,967,24,135,7932,1126,14.2
POST_0081,2026-03-21,LinkedIn,Carousel,936,213,121,4700,1270,27.02
POST_0572,2026-03-21,Facebook,Video,1034,94,133,3081,1261,40.93
POST_0202,2026-03-21,Instagram,Carousel,808,16,146,7606,970,12.75
POST_0018,2026-03-21,LinkedIn,Video,768,117,22,9211,907,9.85
POST_0196,2026-03-22,LinkedIn,Video,591,151,172,9791,914,9.34
POST_0397,2026-03-22,Facebook,Image,1175,56,83,1369,1314,95.98
POST_0280,2026-03-22,LinkedIn,Image,1331,216,143,2938,1690,57.52
POST_0067,2026-03-22,Facebook,Video,852,165,44,4429,1061,23.96
POST_0339,2026-03-22,LinkedIn,Video,440,184,78,4896,702,14.34
POST_0070,2026-03-22,LinkedIn,Image,841,73,154,8807,1068,12.13
POST_0261,2026-03-22,LinkedIn,Image,482,47,74,9208,603,6.55
POST_0411,2026-03-23,Instagram,Video,960,92,123,5244,1175,22.41
POST_0036,2026-03-23,Facebook,Video,1144,114,64,4509,1322,29.32
POST_0369,2026-03-25,LinkedIn,Video,942,217,50,9756,1209,12.39
POST_0575,2026-03-25,LinkedIn,Image,592,145,85,6828,822,12.04
POST_0520,2026-03-26,LinkedIn,Text,1263,176,89,9637,1528,15.86
POST_0026,2026-03-26,Instagram,Carousel,1223,117,123,4167,1463,35.11
POST_0340,2026-03-26,LinkedIn,Video,1396,17,92,9783,1505,15.38
POST_0426,2026-03-26,LinkedIn,Image,181,219,161,562,561,99.82
POST_0435,2026-03-26,Instagram,Image,683,110,171,7796,964,12.37
POST_0389,2026-03-26,LinkedIn,Video,606,233,23,2051,862,42.03
POST_0390,2026-03-26,LinkedIn,Carousel,1034,22,107,2129,1163,54.63
POST_0177,2026-03-27,Instagram,Image,643,157,101,3572,901,25.22
POST_0030,2026-03-27,Facebook,Image,281,126,33,2968,440,14.82
POST_0246,2026-03-28,LinkedIn,Video,792,40,132,3777,964,25.52
POST_0367,2026-03-28,Facebook,Carousel,321,210,81,4638,612,13.2
POST_0047,2026-03-28,Instagram,Video,1259,228,112,4447,1599,35.96
POST_0401,2026-03-28,Instagram,Text,246,5,144,9185,395,4.3
POST_0312,2026-03-29,Facebook,Video,1041,10,53,3100,1104,35.61
POST_0547,2026-03-30,LinkedIn,Video,1469,168,64,4393,1701,38.72
POST_0114,2026-03-30,LinkedIn,Video,1142,13,97,7915,1252,15.82
POST_0152,2026-03-30,LinkedIn,Video,680,117,90,9001,887,9.85
POST_0183,2026-03-30,Instagram,Video,573,164,178,4164,915,21.97
POST_0172,2026-03-30,LinkedIn,Video,327,221,47,4699,595,12.66
POST_0429,2026-03-30,Facebook,Carousel,1231,212,6,7415,1449,19.54
POST_0423,2026-03-31,LinkedIn,Image,919,62,108,6168,1089,17.66
POST_0386,2026-03-31,Facebook,Text,1480,53,12,1837,1545,84.1
POST_0096,2026-03-31,Facebook,Image,62,221,125,5057,408,8.07
POST_0134,2026-03-31,LinkedIn,Image,143,129,178,9033,450,4.98
POST_0037,2026-04-01,Instagram,Video,263,192,46,3826,501,13.09
POST_0089,2026-04-02,Instagram,Video,111,4,133,1160,248,21.38
POST_0373,2026-04-02,Instagram,Image,1056,46,111,1634,1213,74.24
POST_0497,2026-04-02,Instagram,Image,657,20,125,7617,802,10.53
POST_0381,2026-04-03,Facebook,Image,585,48,119,5539,752,13.58
POST_0149,2026-04-03,Instagram,Image,424,221,117,7714,762,9.88
POST_0496,2026-04-04,Instagram,Image,1303,109,56,9190,1468,15.97
POST_0341,2026-04-04,LinkedIn,Image,715,222,153,1316,1090,82.83
POST_0335,2026-04-04,LinkedIn,Image,107,87,126,2961,320,10.81
POST_0206,2026-04-05,Facebook,Video,821,213,68,8119,1102,13.57
POST_0284,2026-04-05,LinkedIn,Image,542,111,110,8144,763,9.37
POST_0476,2026-04-06,LinkedIn,Image,519,89,89,8643,697,8.06
POST_0468,2026-04-06,Instagram,Video,418,127,16,636,561,88.21
POST_0566,2026-04-06,LinkedIn,Video,648,4,154,9947,806,8.1
POST_0456,2026-04-06,Instagram,Video,495,125,101,8968,721,8.04
POST_0211,2026-04-06,Instagram,Carousel,98,228,21,2407,347,14.42
POST_0447,2026-04-06,LinkedIn,Video,1393,190,137,741,1720,232.12
POST_0395,2026-04-07,LinkedIn,Image,151,180,93,8110,424,5.23
POST_0218,2026-04-07,Instagram,Video,959,202,63,7371,1224,16.61
POST_0146,2026-04-08,Instagram,Text,529,134,144,7852,807,10.28
POST_0091,2026-04-08,Facebook,Carousel,865,115,112,1632,1092,66.91
POST_0006,2026-04-09,Facebook,Video,425,244,118,9577,787,8.22
POST_0108,2026-04-09,LinkedIn,Video,709,199,52,4107,960,23.37
POST_0042,2026-04-10,LinkedIn,Image,61,201,162,4138,424,10.25
POST_0588,2026-04-11,Facebook,Video,41,219,49,502,309,61.55
POST_0500,2026-04-11,LinkedIn,Video,1029,201,42,8806,1272,14.44
POST_0010,2026-04-12,Instagram,Image,1204,33,107,9488,1344,14.17
POST_0584,2026-04-12,Facebook,Text,217,66,107,2882,390,13.53
POST_0160,2026-04-12,Instagram,Image,512,140,148,4222,800,18.95
POST_0266,2026-04-12,Facebook,Carousel,188,73,172,1387,433,31.22
POST_0522,2026-04-12,LinkedIn,Image,182,178,136,4736,496,10.47
POST_0557,2026-04-13,Facebook,Image,1003,11,113,4934,1127,22.84
POST_0450,2026-04-13,Instagram,Video,1226,47,46,5559,1319,23.73
POST_0586,2026-04-13,LinkedIn,Video,861,46,74,6579,981,14.91
POST_0480,2026-04-17,Instagram,Text,273,168,155,3200,596,18.62
POST_0510,2026-04-18,LinkedIn,Video,207,104,131,8828,442,5.01
POST_0192,2026-04-18,Facebook,Image,412,186,47,2038,645,31.65
POST_0060,2026-04-18,Facebook,Video,285,249,177,4324,711,16.44
POST_0098,2026-04-18,Instagram,Video,1173,248,108,9565,1529,15.99
POST_0079,2026-04-19,Facebook,Image,501,43,29,4286,573,13.37
POST_0279,2026-04-19,Instagram,Image,370,103,123,4265,596,13.97
POST_0233,2026-04-19,Instagram,Carousel,296,144,70,9350,510,5.45
POST_0562,2026-04-20,LinkedIn,Image,464,202,53,4734,719,15.19
POST_0271,2026-04-21,LinkedIn,Image,786,79,122,518,987,190.54
POST_0158,2026-04-21,Instagram,Text,232,173,46,9212,451,4.9
POST_0484,2026-04-21,LinkedIn,Image,1469,142,91,5664,1702,30.05
POST_0053,2026-04-21,Instagram,Video,418,124,175,3818,717,18.78
POST_0548,2026-04-21,LinkedIn,Video,511,3,48,7311,562,7.69
POST_0461,2026-04-22,Instagram,Video,1161,246,141,9258,1548,16.72
POST_0454,2026-04-23,Instagram,Image,1156,44,12,5341,1212,22.69
POST_0550,2026-04-23,Facebook,Carousel,161,30,51,3179,242,7.61
POST_0383,2026-04-23,Instagram,Image,228,106,174,8752,508,5.8
POST_0391,2026-04-23,Instagram,Video,1113,52,10,2026,1175,58.0
POST_0348,2026-04-23,LinkedIn,Image,127,12,7,7571,146,1.93
POST_0147,2026-04-23,Instagram,Video,1226,228,100,5091,1554,30.52
POST_0197,2026-04-24,LinkedIn,Carousel,48,18,80,2403,146,6.08
POST_0020,2026-04-25,Instagram,Video,360,144,74,2909,578,19.87
POST_0093,2026-04-25,Facebook,Image,466,41,76,7970,583,7.31
POST_0011,2026-04-25,LinkedIn,Carousel,1032,136,97,4142,1265,30.54
POST_0443,2026-04-26,Instagram,Video,887,85,56,1144,1028,89.86
POST_0046,2026-04-26,Facebook,Video,1201,245,48,8118,1494,18.4
POST_0090,2026-04-26,Facebook,Image,562,28,17,6742,607,9.0
POST_0028,2026-04-26,Facebook,Image,1239,15,151,6736,1405,20.86
POST_0515,2026-04-27,LinkedIn,Image,1451,92,155,2742,1698,61.93
POST_0130,2026-04-27,Instagram,Image,839,103,140,4807,1082,22.51
POST_0511,2026-04-27,LinkedIn,Text,1004,221,103,3860,1328,34.4
POST_0050,2026-04-27,Facebook,Image,1050,181,68,3287,1299,39.52
POST_0224,2026-04-27,Instagram,Video,1243,88,29,8612,1360,15.79
POST_0244,2026-04-27,LinkedIn,Image,461,205,140,4908,806,16.42
POST_0427,2026-04-27,Instagram,Text,613,28,136,8329,777,9.33
POST_0054,2026-04-29,Instagram,Video,1448,179,115,9358,1742,18.62
POST_0379,2026-04-29,Instagram,Video,621,77,160,4664,858,18.4
POST_0162,2026-04-29,Instagram,Image,357,176,4,3332,537,16.12
POST_0425,2026-04-29,LinkedIn,Text,555,7,172,8533,734,8.6
POST_0513,2026-04-30,Instagram,Carousel,744,9,156,4052,909,22.43
POST_0275,2026-04-30,Instagram,Video,789,169,167,3106,1125,36.22
POST_0219,2026-04-30,LinkedIn,Image,468,149,125,3472,742,21.37
POST_0449,2026-04-30,Instagram,Video,132,50,43,1302,225,17.28
POST_0328,2026-04-30,Facebook,Text,789,69,7,6909,865,12.52
POST_0003,2026-04-30,Instagram,Image,305,139,163,7686,607,7.9
POST_0458,2026-05-01,Facebook,Video,1346,91,1,4427,1438,32.48
POST_0408,2026-05-01,Facebook,Carousel,961,195,46,5988,1202,20.07
POST_0330,2026-05-02,Facebook,Image,232,9,118,3494,359,10.27
POST_0506,2026-05-02,Instagram,Video,828,241,74,5007,1143,22.83
POST_0075,2026-05-02,Instagram,Video,502,177,5,3508,684,19.5
POST_0439,2026-05-03,Instagram,Carousel,1357,143,64,8052,1564,19.42
POST_0534,2026-05-03,Instagram,Carousel,269,230,58,5888,557,9.46
POST_0137,2026-05-03,Instagram,Carousel,1106,26,81,4582,1213,26.47
POST_0227,2026-05-03,Instagram,Video,1428,68,162,1976,1658,83.91
POST_0474,2026-05-03,LinkedIn,Image,1443,42,152,586,1637,279.35
POST_0180,2026-05-03,LinkedIn,Image,1270,191,150,666,1611,241.89
POST_0135,2026-05-03,Facebook,Video,441,28,16,6434,485,7.54
POST_0216,2026-05-04,Instagram,Video,600,168,137,5269,905,17.18
POST_0309,2026-05-04,Facebook,Text,962,169,31,8845,1162,13.14
POST_0213,2026-05-05,LinkedIn,Image,875,249,170,3035,1294,42.64
POST_0380,2026-05-05,Instagram,Text,333,175,59,2846,567,19.92
POST_0331,2026-05-06,Instagram,Text,482,3,158,9251,643,6.95
POST_0324,2026-05-06,LinkedIn,Video,254,79,21,8119,354,4.36
POST_0273,2026-05-06,LinkedIn,Video,168,114,15,6840,297,4.34
POST_0241,2026-05-06,Facebook,Video,518,245,0,951,763,80.23
POST_0542,2026-05-06,LinkedIn,Video,691,77,10,8942,778,8.7
POST_0362,2026-05-06,Instagram,Image,1267,202,136,2926,1605,54.85
POST_0116,2026-05-06,LinkedIn,Carousel,1372,47,108,778,1527,196.27
POST_0567,2026-05-06,LinkedIn,Image,914,85,14,7301,1013,13.87
POST_0255,2026-05-06,Instagram,Carousel,1380,220,33,5631,1633,29.0
POST_0532,2026-05-06,Facebook,Image,1271,165,21,5451,1457,26.73
POST_0410,2026-05-06,LinkedIn,Video,1100,163,104,3412,1367,40.06
POST_0469,2026-05-07,Instagram,Video,97,234,11,1529,342,22.37
POST_0013,2026-05-07,LinkedIn,Text,479,21,155,8936,655,7.33
POST_0554,2026-05-07,LinkedIn,Image,40,52,158,7273,250,3.44
POST_0463,2026-05-07,Instagram,Image,420,193,162,1700,775,45.59
POST_0465,2026-05-08,LinkedIn,Video,1303,107,130,7524,1540,20.47
POST_0529,2026-05-08,LinkedIn,Video,224,223,142,5427,589,10.85
POST_0120,2026-05-08,LinkedIn,Image,282,64,126,4776,472,9.88
POST_0494,2026-05-08,LinkedIn,Image,280,2,54,5233,336,6.42
POST_0190,2026-05-08,Instagram,Video,36,59,108,1863,203,10.9
POST_0398,2026-05-08,Instagram,Carousel,1063,200,139,1514,1402,92.6
POST_0404,2026-05-10,Facebook,Video,890,174,102,7740,1166,15.06
POST_0001,2026-05-10,Instagram,Video,383,189,106,5758,678,11.77
POST_0008,2026-05-10,LinkedIn,Image,475,50,121,1119,646,57.73
POST_0169,2026-05-10,LinkedIn,Image,719,215,114,3110,1048,33.7
POST_0126,2026-05-10,LinkedIn,Carousel,804,14,128,5945,946,15.91
POST_0354,2026-05-11,LinkedIn,Video,155,70,63,2318,288,12.42
POST_0234,2026-05-11,LinkedIn,Image,251,192,29,3263,472,14.47
POST_0063,2026-05-11,Instagram,Carousel,841,9,119,1128,969,85.9
POST_0342,2026-05-11,LinkedIn,Video,534,63,17,7804,614,7.87
POST_0014,2026-05-11,Facebook,Carousel,757,155,171,3395,1083,31.9
POST_0270,2026-05-11,LinkedIn,Carousel,209,31,82,4060,322,7.93
POST_0118,2026-05-11,Instagram,Carousel,209,17,84,5458,310,5.68
POST_0518,2026-05-12,Instagram,Video,433,159,171,9140,763,8.35
POST_0543,2026-05-12,Instagram,Video,1246,123,103,2288,1472,64.34
POST_0418,2026-05-13,LinkedIn,Video,545,7,136,5807,688,11.85
POST_0068,2026-05-13,Facebook,Carousel,1153,230,3,3265,1386,42.45
POST_0005,2026-05-14,Facebook,Carousel,1127,193,172,9561,1492,15.61
POST_0156,2026-05-15,LinkedIn,Carousel,84,212,53,3773,349,9.25
POST_0402,2026-05-15,LinkedIn,Image,1197,151,100,989,1448,146.41
POST_0035,2026-05-15,LinkedIn,Text,1359,27,55,4083,1441,35.29
POST_0406,2026-05-16,LinkedIn,Image,221,87,40,8524,348,4.08
POST_0577,2026-05-16,Instagram,Text,47,41,45,3906,133,3.41
POST_0302,2026-05-16,Instagram,Video,907,245,52,7662,1204,15.71
POST_0278,2026-05-17,Facebook,Carousel,179,155,161,6932,495,7.14
POST_0080,2026-05-18,Instagram,Image,1435,61,169,9756,1665,17.07
POST_0563,2026-05-18,Facebook,Image,444,122,160,4264,726,17.03
POST_0311,2026-05-18,Instagram,Carousel,1440,31,9,6663,1480,22.21
POST_0055,2026-05-18,LinkedIn,Image,597,172,64,7189,833,11.59
POST_0549,2026-05-19,Instagram,Video,915,192,174,9788,1281,13.09
POST_0272,2026-05-19,LinkedIn,Carousel,389,85,101,5321,575,10.81
POST_0245,2026-05-19,Facebook,Image,1304,146,135,4568,1585,34.7
POST_0193,2026-05-20,LinkedIn,Image,444,24,72,3908,540,13.82
POST_0267,2026-05-20,Instagram,Carousel,236,191,33,3604,460,12.76
POST_0247,2026-05-20,LinkedIn,Image,369,138,127,9066,634,6.99
POST_0189,2026-05-20,Instagram,Text,211,83,134,4857,428,8.81
POST_0182,2026-05-20,Instagram,Image,1465,214,154,2161,1833,84.82
POST_0546,2026-05-20,LinkedIn,Image,218,42,155,9859,415,4.21
POST_0539,2026-05-20,LinkedIn,Video,1113,85,137,2276,1335,58.66
POST_0191,2026-05-20,LinkedIn,Carousel,1163,76,162,2792,1401,50.18
POST_0345,2026-05-21,Instagram,Video,42,159,86,2420,287,11.86
POST_0416,2026-05-21,Instagram,Text,535,88,129,4141,752,18.16
POST_0521,2026-05-21,Instagram,Video,922,216,103,6118,1241,20.28
